host_response_rate,host_acceptance_rate,host_total_listings_count,neighbourhood,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,weighted_rating_score,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_is_superhost_t,host_identity_verified_t,property_type_Bed & Breakfast,property_type_Boat,property_type_Bungalow,property_type_Cabin,property_type_Camper/RV,property_type_Chalet,property_type_Condominium,property_type_Dorm,property_type_House,property_type_Loft,property_type_Other,property_type_Tent,property_type_Townhouse,property_type_Treehouse,property_type_Yurt,room_type_Private room,room_type_Shared room,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_moderate,cancellation_policy_strict
100.0,100.0,1.0,76,4,1.0,1.0,2.0,100.0,75.0,6,97.0,582.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
90.0,100.0,1.0,3,6,2.5,3.0,3.0,500.0,45.0,14,100.0,1400.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
99.0,100.0,17.0,10,2,1.0,0.0,1.0,95.0,25.0,1,80.0,80.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
100.0,99.96715927750411,1.0,66,8,2.0,3.0,3.0,250.0,100.0,17,94.0,1598.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
94.88679817905918,99.96715927750411,1.0,71,4,2.0,2.0,2.0,250.0,50.0,4,100.0,400.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
100.0,100.0,1.0,73,3,1.0,1.0,2.0,100.0,25.0,14,97.0,1358.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67.0,100.0,1.0,10,2,1.0,1.0,1.0,150.0,61.71090387374462,1,100.0,100.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
100.0,100.0,1.0,79,4,1.0,2.0,2.0,287.61039657020365,50.0,33,96.0,3168.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
80.0,100.0,2.0,38,3,1.0,1.0,2.0,100.0,25.0,33,89.0,2937.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
94.0,100.0,34.0,59,8,2.5,3.0,4.0,287.61039657020365,169.0,12,95.0,1140.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
40.0,100.0,1.0,41,1,1.0,1.0,1.0,287.61039657020365,61.71090387374462,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
90.0,100.0,37.0,10,1,1.0,1.0,1.0,350.0,35.0,1,100.0,100.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
100.0,100.0,1.0,76,4,1.0,1.0,2.0,287.61039657020365,61.71090387374462,70,97.0,6790.0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
100.0,100.0,7.0,10,2,1.0,1.0,1.0,287.61039657020365,30.0,0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
100.0,100.0,1.0,59,4,1.0,1.0,2.0,287.61039657020365,90.0,5,96.0,480.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
100.0,100.0,2.0,10,7,1.0,3.0,4.0,500.0,60.0,0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
94.88679817905918,99.96715927750411,1.0,10,2,2.0,1.0,1.0,287.61039657020365,61.71090387374462,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
100.0,100.0,3.0,12,3,1.0,0.0,1.0,95.0,45.0,64,98.0,6272.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
100.0,100.0,2.0,76,2,1.0,1.0,1.0,287.61039657020365,15.0,100,91.0,9100.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
100.0,99.96715927750411,2.0,19,2,1.0,1.0,1.0,100.0,50.0,2,100.0,200.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
100.0,100.0,1.0,37,2,1.0,1.0,1.0,500.0,75.0,10,100.0,1000.0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
100.0,100.0,1.0,13,3,1.0,0.0,2.0,350.0,20.0,6,100.0,600.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
